o_que_aconteceu,tematica,fonte_status,fonte_veiculo,fonte_data,fonte_titulo,fonte_url
"A literatura de cordel — os folhetos populares com capa de xilogravura, vendidos nas feiras do Nordeste — foi reconhecida Patrimônio Cultural Imaterial do Brasil pelo IPHAN em 2018. É uma das mais ricas tradições de poesia narrativa do país.","folheto na feira, voz que não se cala",fonte a definir,,,,
"A literatura de cordel — os folhetos populares com capa de xilogravura, vendidos nas feiras do Nordeste — foi reconhecida Patrimônio Cultural Imaterial do Brasil pelo IPHAN em 2018. É uma das mais ricas tradições de poesia narrativa do país.","xilogravura e rima, herança que ilumina",fonte a definir,,,,
"A literatura de cordel — os folhetos populares com capa de xilogravura, vendidos nas feiras do Nordeste — foi reconhecida Patrimônio Cultural Imaterial do Brasil pelo IPHAN em 2018. É uma das mais ricas tradições de poesia narrativa do país.","cordel é semente, palavra valente",fonte a definir,,,,
"No repente e na embolada, dois violeiros improvisam versos rimados um contra o outro em desafios chamados pelejas, que podem durar horas. É a poesia oral viva do Nordeste, feita de rima, métrica e criatividade na hora.","viola afinada, peleja improvisada",fonte a definir,,,,
"No repente e na embolada, dois violeiros improvisam versos rimados um contra o outro em desafios chamados pelejas, que podem durar horas. É a poesia oral viva do Nordeste, feita de rima, métrica e criatividade na hora.","dois cantadores, mil emoções",fonte a definir,,,,
"No repente e na embolada, dois violeiros improvisam versos rimados um contra o outro em desafios chamados pelejas, que podem durar horas. É a poesia oral viva do Nordeste, feita de rima, métrica e criatividade na hora.","rima no improviso, sertão como juízo",fonte a definir,,,,
"Luiz Gonzaga, o Rei do Baião, levou o som da sanfona e a vida do sertão para todo o Brasil a partir dos anos 1940, com clássicos como Asa Branca. Sua obra deu voz e orgulho à cultura nordestina.","sanfona de Gonzaga, saudade que não apaga",fonte a definir,,,,
"Luiz Gonzaga, o Rei do Baião, levou o som da sanfona e a vida do sertão para todo o Brasil a partir dos anos 1940, com clássicos como Asa Branca. Sua obra deu voz e orgulho à cultura nordestina.","asa branca voou, o povo cantou",fonte a definir,,,,
"Luiz Gonzaga, o Rei do Baião, levou o som da sanfona e a vida do sertão para todo o Brasil a partir dos anos 1940, com clássicos como Asa Branca. Sua obra deu voz e orgulho à cultura nordestina.","baião na estrada, cultura espalhada",fonte a definir,,,,
"As festas de São João do Nordeste, especialmente em Campina Grande (PB) e Caruaru (PE), estão entre os maiores festejos juninos do mundo, reunindo milhões de pessoas em torno do forró, da quadrilha e da fogueira.","fogueira acesa, alegria com firmeza",fonte a definir,,,,
"As festas de São João do Nordeste, especialmente em Campina Grande (PB) e Caruaru (PE), estão entre os maiores festejos juninos do mundo, reunindo milhões de pessoas em torno do forró, da quadrilha e da fogueira.","quadrilha no terreiro, junho brasileiro",fonte a definir,,,,
"As festas de São João do Nordeste, especialmente em Campina Grande (PB) e Caruaru (PE), estão entre os maiores festejos juninos do mundo, reunindo milhões de pessoas em torno do forró, da quadrilha e da fogueira.","xote, xaxado e paixão, arraiá no coração",fonte a definir,,,,
"Mestre Vitalino (1909-1963), do Alto do Moura em Caruaru (PE), transformou o barro em arte ao retratar cenas do cotidiano sertanejo. Seu legado fez da região um dos maiores centros de arte figurativa das Américas.",barro nas mãos vira tradição,fonte a definir,,,,
"Mestre Vitalino (1909-1963), do Alto do Moura em Caruaru (PE), transformou o barro em arte ao retratar cenas do cotidiano sertanejo. Seu legado fez da região um dos maiores centros de arte figurativa das Américas.","figura de Vitalino, retrato do menino",fonte a definir,,,,
"Mestre Vitalino (1909-1963), do Alto do Moura em Caruaru (PE), transformou o barro em arte ao retratar cenas do cotidiano sertanejo. Seu legado fez da região um dos maiores centros de arte figurativa das Américas.","argila e talento, arte sem cimento",fonte a definir,,,,
"No semiárido nordestino, programas como o P1MC construíram mais de um milhão de cisternas para captar água da chuva. A convivência com o semiárido mostra que, com tecnologia simples e saber popular, é possível viver bem mesmo na seca.","cisterna cheia, esperança na areia",fonte a definir,,,,
"No semiárido nordestino, programas como o P1MC construíram mais de um milhão de cisternas para captar água da chuva. A convivência com o semiárido mostra que, com tecnologia simples e saber popular, é possível viver bem mesmo na seca.","água guardada, seca enganada",fonte a definir,,,,
"No semiárido nordestino, programas como o P1MC construíram mais de um milhão de cisternas para captar água da chuva. A convivência com o semiárido mostra que, com tecnologia simples e saber popular, é possível viver bem mesmo na seca.","sertão que resiste, ninguém desiste",fonte a definir,,,,
"O Nordeste se tornou a maior potência de energia eólica e solar do Brasil. Os ventos e o sol fortes do sertão hoje geram energia limpa para o país, criando empregos e renda na região.","vento que gira, energia que inspira",fonte a definir,,,,
"O Nordeste se tornou a maior potência de energia eólica e solar do Brasil. Os ventos e o sol fortes do sertão hoje geram energia limpa para o país, criando empregos e renda na região.","sol do sertão, luz pra nação",fonte a definir,,,,
"O Nordeste se tornou a maior potência de energia eólica e solar do Brasil. Os ventos e o sol fortes do sertão hoje geram energia limpa para o país, criando empregos e renda na região.","cata-vento moderno, futuro sem inverno",fonte a definir,,,,
"A agricultura familiar produz boa parte da comida que chega à mesa dos brasileiros. Pequenos agricultores, assentamentos e movimentos sociais lutam por terra, crédito e dignidade no campo.","enxada e união, alimento na mão",fonte a definir,,,,
"A agricultura familiar produz boa parte da comida que chega à mesa dos brasileiros. Pequenos agricultores, assentamentos e movimentos sociais lutam por terra, crédito e dignidade no campo.","roçado florido, povo destemido",fonte a definir,,,,
"A agricultura familiar produz boa parte da comida que chega à mesa dos brasileiros. Pequenos agricultores, assentamentos e movimentos sociais lutam por terra, crédito e dignidade no campo.","da terra o sustento, do trabalho o alento",fonte a definir,,,,
"A transposição do Rio São Francisco, o Velho Chico, leva água por canais a milhões de pessoas no semiárido de quatro estados nordestinos, ajudando a enfrentar a escassez histórica de água na região.","velho Chico caminha, vida na campina",fonte a definir,,,,
"A transposição do Rio São Francisco, o Velho Chico, leva água por canais a milhões de pessoas no semiárido de quatro estados nordestinos, ajudando a enfrentar a escassez histórica de água na região.","água que viaja, seca que se apaga",fonte a definir,,,,
"A transposição do Rio São Francisco, o Velho Chico, leva água por canais a milhões de pessoas no semiárido de quatro estados nordestinos, ajudando a enfrentar a escassez histórica de água na região.","rio repartido, sertão revivido",fonte a definir,,,,
"A inteligência artificial já ajuda a escrever, desenhar e criar. O desafio do nosso tempo é usar essas ferramentas com ética e sem perder a autoria humana: a voz, a alma e a responsabilidade de quem cria continuam sendo das pessoas.","máquina ajuda, mas a voz é minha",fonte a definir,,,,
"A inteligência artificial já ajuda a escrever, desenhar e criar. O desafio do nosso tempo é usar essas ferramentas com ética e sem perder a autoria humana: a voz, a alma e a responsabilidade de quem cria continuam sendo das pessoas.","robô não tem alma, poeta tem calma",fonte a definir,,,,
"A inteligência artificial já ajuda a escrever, desenhar e criar. O desafio do nosso tempo é usar essas ferramentas com ética e sem perder a autoria humana: a voz, a alma e a responsabilidade de quem cria continuam sendo das pessoas.","IA sugere, o humano prevalece",fonte a definir,,,,
A desinformação se espalha rápido nas redes sociais e pode causar danos reais. Checar a fonte antes de compartilhar e pensar criticamente sobre o que se lê são atitudes essenciais de cidadania na era digital.,"antes de postar, é preciso checar",fonte a definir,,,,
A desinformação se espalha rápido nas redes sociais e pode causar danos reais. Checar a fonte antes de compartilhar e pensar criticamente sobre o que se lê são atitudes essenciais de cidadania na era digital.,"mentira viaja, verdade trabalha",fonte a definir,,,,
A desinformação se espalha rápido nas redes sociais e pode causar danos reais. Checar a fonte antes de compartilhar e pensar criticamente sobre o que se lê são atitudes essenciais de cidadania na era digital.,"fato ou boato? pensa, povo letrado",fonte a definir,,,,
"Milhões de brasileiros ainda têm acesso precário à internet, especialmente em áreas rurais e periferias. A inclusão digital é hoje condição para estudar, trabalhar e exercer direitos.","sinal na quebrada, juventude conectada",fonte a definir,,,,
"Milhões de brasileiros ainda têm acesso precário à internet, especialmente em áreas rurais e periferias. A inclusão digital é hoje condição para estudar, trabalhar e exercer direitos.","clique que liberta, mente desperta",fonte a definir,,,,
"Milhões de brasileiros ainda têm acesso precário à internet, especialmente em áreas rurais e periferias. A inclusão digital é hoje condição para estudar, trabalhar e exercer direitos.","rede pra todos, fim dos apartos",fonte a definir,,,,
O Sistema Único de Saúde (SUS) é um dos maiores sistemas públicos de saúde do mundo. Instituições como Fiocruz e Butantan produzem vacinas e ciência que salvam vidas e são orgulho do Brasil.,"vacina no braço, ciência que abraço",fonte a definir,,,,
O Sistema Único de Saúde (SUS) é um dos maiores sistemas públicos de saúde do mundo. Instituições como Fiocruz e Butantan produzem vacinas e ciência que salvam vidas e são orgulho do Brasil.,"jaleco e coragem, saúde é a viagem",fonte a definir,,,,
O Sistema Único de Saúde (SUS) é um dos maiores sistemas públicos de saúde do mundo. Instituições como Fiocruz e Butantan produzem vacinas e ciência que salvam vidas e são orgulho do Brasil.,"SUS que acolhe, vida que recolhe",fonte a definir,,,,
"As cotas raciais e sociais nas universidades públicas, ampliadas a partir de 2012, abriram as portas do ensino superior a milhões de jovens negros, indígenas e de escola pública, como medida de reparação e justiça.","cota é justiça, porta que se abre",fonte a definir,,,,
"As cotas raciais e sociais nas universidades públicas, ampliadas a partir de 2012, abriram as portas do ensino superior a milhões de jovens negros, indígenas e de escola pública, como medida de reparação e justiça.","diploma na mão, reparação",fonte a definir,,,,
"As cotas raciais e sociais nas universidades públicas, ampliadas a partir de 2012, abriram as portas do ensino superior a milhões de jovens negros, indígenas e de escola pública, como medida de reparação e justiça.","negro na ciência, presença e potência",fonte a definir,,,,
"O Brasil tem a maior população negra fora da África. Combater o racismo, valorizar a ancestralidade e celebrar a cultura negra, como no Dia da Consciência Negra (20 de novembro, em memória de Zumbi dos Palmares), é compromisso de toda a sociedade.","negritude é potência, orgulho e presença",fonte a definir,,,,
"O Brasil tem a maior população negra fora da África. Combater o racismo, valorizar a ancestralidade e celebrar a cultura negra, como no Dia da Consciência Negra (20 de novembro, em memória de Zumbi dos Palmares), é compromisso de toda a sociedade.","Zumbi e Dandara, raiz que não se apara",fonte a definir,,,,
"O Brasil tem a maior população negra fora da África. Combater o racismo, valorizar a ancestralidade e celebrar a cultura negra, como no Dia da Consciência Negra (20 de novembro, em memória de Zumbi dos Palmares), é compromisso de toda a sociedade.","racismo é ferida, respeito é a saída",fonte a definir,,,,
"Mulheres seguem conquistando espaço na ciência, na política e na liderança, apesar das desigualdades. Garantir oportunidades iguais e valorizar a voz e a autoria femininas fortalece toda a sociedade.","mulher na frente, mente que não mente",fonte a definir,,,,
"Mulheres seguem conquistando espaço na ciência, na política e na liderança, apesar das desigualdades. Garantir oportunidades iguais e valorizar a voz e a autoria femininas fortalece toda a sociedade.","do lar ao laboratório, voz e território",fonte a definir,,,,
"Mulheres seguem conquistando espaço na ciência, na política e na liderança, apesar das desigualdades. Garantir oportunidades iguais e valorizar a voz e a autoria femininas fortalece toda a sociedade.","menina que estuda, o mundo se muda",fonte a definir,,,,
"Respeitar as diversidades de gênero e orientação é reconhecer o direito de cada pessoa de ser quem é, com dignidade e sem violência. A escola e a cultura são espaços para aprender a conviver com a diferença.","ser quem se é, respeito e fé",fonte a definir,,,,
"Respeitar as diversidades de gênero e orientação é reconhecer o direito de cada pessoa de ser quem é, com dignidade e sem violência. A escola e a cultura são espaços para aprender a conviver com a diferença.","amor é amor, sem rótulo ou temor",fonte a definir,,,,
